pid,name,cid
0,Quintero,0
0,Quintero,0
1,Puerto Montt,1
1,Puerto Montt,1
2,Lirquen,2
2,Lirquen,2
3,Ancud,3
3,Ancud,3
4,La Serena,4
4,La Serena,4
5,Chacabuco,5
5,Chacabuco,5
6,Castro,6
6,Castro,6
7,Talcahuano,7
7,Talcahuano,7
8,Port Williams,8
8,Port Williams,8
9,Mejillones,9
9,Mejillones,9
10,Caleta Coloso,12
10,Caleta Coloso,12
11,Caldera,13
11,Caldera,13
12,Punta Patache,14
12,Punta Patache,14
13,Calderilla,13
14,Huasco,17
14,Huasco,17
15,Puerto Angamos,9
16,Isla Guarello,20
16,Isla Guarello,20
17,Barquito,21
17,Barquito,21
18,Puerto Natales,23
18,Puerto Natales,23
19,Cruz Grande,24
19,Cruz Grande,24
20,Coquimbo,25
20,Coquimbo,25
21,Antofagasta,12
22,Arica,31
22,Arica,31
23,Penco,2
24,Punta Arenas,45
24,Punta Arenas,45
25,Quemchi,52
25,Quemchi,52
26,Guayacan,25
27,Quellon,59
27,Quellon,59
28,Iquique,14
29,San Antonio,70
29,San Antonio,70
30,Valparaiso,72
30,Valparaiso,72
31,Lota,73
31,Lota,73
32,Taltal,75
32,Taltal,75
33,Cabo Negro,77
33,Cabo Negro,77
34,Corral,89
34,Corral,89
35,Balmaceda,118
35,Balmaceda,118
36,Puerto Chacabuco,5
37,Caleta Patillos,14
38,Coronel,133
38,Coronel,133
39,Valdivia,160
39,Valdivia,160
40,San Vicente,196
40,San Vicente,196
41,Isla de Pascua,253
41,Isla de Pascua,253
42,Tocopilla,264
42,Tocopilla,264
